measure,pitch,offset,offsetMeasure,quarterLength,fullName,notehead
59,F#2,234.0,2.0,1.5+0.75,F-sharp in octave 2 Dotted Eighth Note,normal
59,C#3,234.75,2.75,0.25,C-sharp in octave 3 16th Note,normal
59,F#3,235.0,3.0,0.25,F-sharp in octave 3 16th Note,normal
59,C#3,235.25,3.25,0.25,C-sharp in octave 3 16th Note,normal
59,F#3,235.5,3.5,0.25,F-sharp in octave 3 16th Note,normal
59,C#3,235.75,3.75,0.25,C-sharp in octave 3 16th Note,normal
60,F#2,236.0,0.0,1.75,F-sharp in octave 2 Double Dotted Quarter Note,normal
60,C#3,237.75,1.75,0.25,C-sharp in octave 3 16th Note,normal
60,F#2,238.0,2.0,0.75,F-sharp in octave 2 Dotted Eighth Note,normal
60,C#3,238.75,2.75,0.25,C-sharp in octave 3 16th Note,normal
60,C#3,239.0,3.0,0.5,C-sharp in octave 3 Eighth Note,normal
60,C3,239.5,3.5,0.5,C-natural in octave 3 Eighth Note,normal
61,B2,240.0,0.0,1.5,B in octave 2 Dotted Quarter Note,normal
61,D#3,242.0,2.0,0.5+0.25,D-sharp in octave 3 16th Note,normal
61,E3,242.25,2.25,0.5,E in octave 3 Eighth Note,normal
61,E#3,242.75,2.75,0.25,E-sharp in octave 3 16th Note,x
61,F#3,243.0,3.0,0.5,F-sharp in octave 3 Eighth Note,normal
61,A3,243.5,3.5,0.5,A in octave 3 Eighth Note,normal
62,B3,244.0,0.0,0.25,B in octave 3 16th Note,normal
62,B3,244.25,0.25,0.5,B in octave 3 Eighth Note,normal
62,B3,244.75,0.75,0.25,B in octave 3 16th Note,normal
62,A3,245.0,1.0,0.5,A in octave 3 Eighth Note,normal
62,A3,245.5,1.5,0.25,A in octave 3 16th Note,normal
62,F#3,246.0,2.0,0.25+0.25,F-sharp in octave 3 16th Note,normal
62,F#3,246.25,2.25,0.25,F-sharp in octave 3 16th Note,normal
62,B2,246.5,2.5,0.5,B in octave 2 Eighth Note,normal
62,B2,247.0,3.0,0.5,B in octave 2 Eighth Note,normal
62,B2,247.5,3.5,0.5,B in octave 2 Eighth Note,normal
63,F#2,248.0,0.0,1.0,F-sharp in octave 2 Quarter Note,normal
63,F#2,249.0,1.0,0.75,F-sharp in octave 2 Dotted Eighth Note,normal
63,A2,250.0,2.0,0.25+1.0,A in octave 2 Quarter Note,normal
63,C#3,251.0,3.0,0.5,C-sharp in octave 3 Eighth Note,normal
63,C3,251.5,3.5,0.5,C-natural in octave 3 Eighth Note,normal
64,B2,252.0,0.0,1.0,B in octave 2 Quarter Note,normal
64,A2,253.0,1.0,0.75,A in octave 2 Dotted Eighth Note,normal
64,G#2,254.0,2.0,0.25+0.5,G-sharp in octave 2 Eighth Note,normal
64,G#2,254.5,2.5,0.5,G-sharp in octave 2 Eighth Note,normal
64,G2,255.0,3.0,0.5,G-natural in octave 2 Eighth Note,normal
64,E2,255.5,3.5,0.5,E in octave 2 Eighth Note,normal
65,F#2,256.0,0.0,1.0,F-sharp in octave 2 Quarter Note,normal
65,F#2,257.0,1.0,0.75,F-sharp in octave 2 Dotted Eighth Note,normal
65,A2,258.0,2.0,0.25+0.5,A in octave 2 Eighth Note,normal
65,A2,258.5,2.5,0.5,A in octave 2 Eighth Note,normal
65,C#3,259.0,3.0,0.5,C-sharp in octave 3 Eighth Note,normal
65,C3,259.5,3.5,0.25,C-natural in octave 3 16th Note,normal
65,A2,259.75,3.75,0.25,A in octave 2 16th Note,normal
66,B2,260.0,0.0,0.75,B in octave 2 Dotted Eighth Note,normal
66,D#3,261.0,1.0,0.25+0.25,D-sharp in octave 3 16th Note,normal
66,E3,261.25,1.25,0.5,E in octave 3 Eighth Note,normal
66,E#3,261.75,1.75,0.25,E-sharp in octave 3 16th Note,normal
66,F#3,262.0,2.0,0.5,F-sharp in octave 3 Eighth Note,normal
66,A3,262.5,2.5,0.25,A in octave 3 16th Note,normal
66,A#3,262.75,2.75,0.25,A-sharp in octave 3 16th Note,normal
66,B3,263.0,3.0,0.25,B in octave 3 16th Note,normal
66,A3,263.25,3.25,0.25,A-natural in octave 3 16th Note,normal
66,E3,263.5,3.5,0.25,E-natural in octave 3 16th Note,normal
66,E3,263.75,3.75,0.25,E in octave 3 16th Note,normal
67,F#3,264.0,0.0,0.5,F-sharp in octave 3 Eighth Note,normal
67,F#3,265.0,1.0,0.5+0.75,F-sharp in octave 3 Dotted Eighth Note,normal
67,C#3,265.75,1.75,0.25,C-sharp in octave 3 16th Note,normal
67,F#2,266.0,2.0,0.75,F-sharp in octave 2 Dotted Eighth Note,normal
67,C#3,267.0,3.0,0.25+0.5,C-sharp in octave 3 Eighth Note,normal
67,C3,267.5,3.5,0.5,C-natural in octave 3 Eighth Note,normal
68,B2,268.0,0.0,0.5,B in octave 2 Eighth Note,normal
68,B2,269.0,1.0,0.5+0.75,B in octave 2 Dotted Eighth Note,normal
68,D#3,269.75,1.75,0.25,D-sharp in octave 3 16th Note,x
68,B2,270.0,2.0,0.75,B in octave 2 Dotted Eighth Note,normal
68,C#3,271.0,3.0,0.25+0.5,C-sharp in octave 3 Eighth Note,normal
68,D#3,271.5,3.5,0.5,D-sharp in octave 3 Eighth Note,normal
69,E3,272.0,0.0,0.5,E in octave 3 Eighth Note,normal
69,E3,272.5,0.5,1.5,E in octave 3 Dotted Quarter Note,normal
69,E3,274.0,2.0,0.75,E in octave 3 Dotted Eighth Note,normal
69,F#3,275.0,3.0,0.25+0.5,F-sharp in octave 3 Eighth Note,normal
69,G#3,275.5,3.5,0.5,G-sharp in octave 3 Eighth Note,normal
70,C#3,276.0,0.0,1.75,C-sharp in octave 3 Double Dotted Quarter Note,normal
70,C#3,277.75,1.75,0.25,C-sharp in octave 3 16th Note,x
70,B2,278.0,2.0,0.25,B in octave 2 16th Note,normal
70,C#3,278.25,2.25,0.25,C-sharp in octave 3 16th Note,normal
70,E3,278.5,2.5,0.5,E in octave 3 Eighth Note,normal
70,E3,279.0,3.0,0.5,E in octave 3 Eighth Note,normal
70,C#3,279.5,3.5,0.5,C-sharp in octave 3 Eighth Note,normal
71,E2,280.0,0.0,0.5,E in octave 2 Eighth Note,normal
71,E2,280.5,0.5,1.5,E in octave 2 Dotted Quarter Note,normal
71,E3,282.0,2.0,0.75,E in octave 3 Dotted Eighth Note,normal
71,F#3,283.0,3.0,0.25+0.5,F-sharp in octave 3 Eighth Note,normal
71,G#3,283.5,3.5,0.5,G-sharp in octave 3 Eighth Note,normal
72,C#3,284.0,0.0,0.5,C-sharp in octave 3 Eighth Note,normal
72,C#3,286.0,2.0,1.5+0.5,C-sharp in octave 3 Eighth Note,normal
72,C#3,286.5,2.5,0.25,C-sharp in octave 3 16th Note,normal
72,C#3,286.75,2.75,0.25,C-sharp in octave 3 16th Note,normal
72,C3,287.0,3.0,0.25,C-natural in octave 3 16th Note,normal
72,C3,287.25,3.25,0.25,C in octave 3 16th Note,normal
72,B2,287.5,3.5,0.25,B in octave 2 16th Note,normal
72,B-2,287.75,3.75,0.25,B-flat in octave 2 16th Note,normal
73,A2,288.0,0.0,0.5,A in octave 2 Eighth Note,normal
73,A2,288.5,0.5,1.0,A in octave 2 Quarter Note,normal
73,E3,289.5,1.5,0.25,E in octave 3 16th Note,normal
73,A3,290.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
73,E3,290.25,2.25,0.25,E in octave 3 16th Note,normal
73,A3,290.5,2.5,0.5,A in octave 3 Eighth Note,normal
73,E3,291.0,3.0,0.5,E in octave 3 Eighth Note,normal
73,A3,291.5,3.5,0.25,A in octave 3 16th Note,normal
73,E3,291.75,3.75,0.25,E in octave 3 16th Note,normal
74,A2,292.0,0.0,0.5,A in octave 2 Eighth Note,normal
74,A2,292.5,0.5,1.0,A in octave 2 Quarter Note,normal
74,E3,293.5,1.5,0.25,E in octave 3 16th Note,normal
74,A3,294.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
74,E3,294.25,2.25,0.25,E in octave 3 16th Note,normal
74,A3,294.5,2.5,0.5,A in octave 3 Eighth Note,normal
74,E3,295.0,3.0,0.5,E in octave 3 Eighth Note,normal
74,A3,295.5,3.5,0.25,A in octave 3 16th Note,normal
74,E3,295.75,3.75,0.25,E in octave 3 16th Note,normal
75,A2,296.0,0.0,0.5,A in octave 2 Eighth Note,normal
75,A2,296.5,0.5,1.0,A in octave 2 Quarter Note,normal
75,E3,297.5,1.5,0.25,E in octave 3 16th Note,normal
75,A3,298.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
75,E3,298.25,2.25,0.25,E in octave 3 16th Note,normal
75,A3,298.5,2.5,0.5,A in octave 3 Eighth Note,normal
75,E3,299.0,3.0,0.5,E in octave 3 Eighth Note,normal
75,A3,299.5,3.5,0.25,A in octave 3 16th Note,normal
75,E3,299.75,3.75,0.25,E in octave 3 16th Note,normal
76,A2,300.0,0.0,0.5,A in octave 2 Eighth Note,normal
76,A2,300.5,0.5,1.0,A in octave 2 Quarter Note,normal
76,E3,301.5,1.5,0.25,E in octave 3 16th Note,normal
76,A3,302.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
76,E3,302.25,2.25,0.25,E in octave 3 16th Note,normal
76,A3,302.5,2.5,0.5,A in octave 3 Eighth Note,normal
76,E3,303.0,3.0,0.5,E in octave 3 Eighth Note,normal
76,A3,303.5,3.5,0.25,A in octave 3 16th Note,normal
76,E3,303.75,3.75,0.25,E in octave 3 16th Note,normal
77,A2,304.0,0.0,0.5,A in octave 2 Eighth Note,normal
77,A2,304.5,0.5,1.0,A in octave 2 Quarter Note,normal
77,E3,305.5,1.5,0.25,E in octave 3 16th Note,normal
77,A3,306.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
77,E3,306.25,2.25,0.25,E in octave 3 16th Note,normal
77,A3,306.5,2.5,0.5,A in octave 3 Eighth Note,normal
77,E3,307.0,3.0,0.5,E in octave 3 Eighth Note,normal
77,A3,307.5,3.5,0.25,A in octave 3 16th Note,normal
77,E3,307.75,3.75,0.25,E in octave 3 16th Note,normal
78,A2,308.0,0.0,0.5,A in octave 2 Eighth Note,normal
78,A2,308.5,0.5,1.0,A in octave 2 Quarter Note,normal
78,E3,309.5,1.5,0.25,E in octave 3 16th Note,normal
78,A3,310.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
78,E3,310.25,2.25,0.25,E in octave 3 16th Note,normal
78,A3,310.5,2.5,0.5,A in octave 3 Eighth Note,normal
78,E3,311.0,3.0,0.5,E in octave 3 Eighth Note,normal
78,A3,311.5,3.5,0.25,A in octave 3 16th Note,normal
78,E3,311.75,3.75,0.25,E in octave 3 16th Note,normal
79,A2,312.0,0.0,0.5,A in octave 2 Eighth Note,normal
79,A2,312.5,0.5,1.0,A in octave 2 Quarter Note,normal
79,E3,313.5,1.5,0.25,E in octave 3 16th Note,normal
79,A3,314.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
79,E3,314.25,2.25,0.25,E in octave 3 16th Note,normal
79,A3,314.5,2.5,0.5,A in octave 3 Eighth Note,normal
79,E3,315.0,3.0,0.5,E in octave 3 Eighth Note,normal
79,A3,315.5,3.5,0.25,A in octave 3 16th Note,normal
79,E3,315.75,3.75,0.25,E in octave 3 16th Note,normal
80,A2,316.0,0.0,0.5,A in octave 2 Eighth Note,normal
80,A2,316.5,0.5,1.0,A in octave 2 Quarter Note,normal
80,E3,317.5,1.5,0.25,E in octave 3 16th Note,normal
80,A3,318.0,2.0,0.25+0.25,A in octave 3 16th Note,normal
80,E3,318.25,2.25,0.25,E in octave 3 16th Note,normal
80,A2,318.5,2.5,0.5,A in octave 2 Eighth Note,normal
80,A2,319.0,3.0,0.5,A in octave 2 Eighth Note,normal
80,A#2,319.5,3.5,0.5,A-sharp in octave 2 Eighth Note,normal
81,B2,320.0,0.0,0.5,B in octave 2 Eighth Note,normal
81,B2,320.5,0.5,1.0,B in octave 2 Quarter Note,normal
81,D#3,322.0,2.0,0.5+0.25,D-sharp in octave 3 16th Note,normal
81,E3,322.25,2.25,0.5,E in octave 3 Eighth Note,normal
81,E#3,322.75,2.75,0.25,E-sharp in octave 3 16th Note,normal
81,F#3,323.0,3.0,0.5,F-sharp in octave 3 Eighth Note,normal
81,A3,323.5,3.5,0.5,A in octave 3 Eighth Note,normal
82,B3,324.0,0.0,0.5,B in octave 3 Eighth Note,normal
82,B3,325.0,1.0,0.5+0.25,B in octave 3 16th Note,normal
82,D#3,325.25,1.25,0.5,D-sharp in octave 3 Eighth Note,normal
82,E3,326.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
82,E#3,326.25,2.25,0.25,E-sharp in octave 3 16th Note,normal
82,F#3,326.5,2.5,0.5,F-sharp in octave 3 Eighth Note,normal
82,F#2,327.0,3.0,0.5,F-sharp in octave 2 Eighth Note,normal
82,C#3,327.5,3.5,0.5,C-sharp in octave 3 Eighth Note,normal
83,B2,328.0,0.0,0.25,B in octave 2 16th Note,normal
83,B2,328.25,0.25,0.5,B in octave 2 Eighth Note,normal
83,B2,328.75,0.75,0.25,B in octave 2 16th Note,normal
83,D#3,329.0,1.0,0.25,D-sharp in octave 3 16th Note,normal
83,D#3,329.25,1.25,0.5,D-sharp in octave 3 Eighth Note,normal
83,D#3,329.75,1.75,0.25,D-sharp in octave 3 16th Note,normal
83,E3,330.0,2.0,0.25,E in octave 3 16th Note,normal
83,E3,330.25,2.25,0.5,E in octave 3 Eighth Note,normal
83,E3,330.75,2.75,0.25,E in octave 3 16th Note,normal
83,E#3,331.0,3.0,0.25,E-sharp in octave 3 16th Note,normal
83,E#3,331.25,3.25,0.5,E-sharp in octave 3 Eighth Note,normal
83,E#3,331.75,3.75,0.25,E-sharp in octave 3 16th Note,normal
84,F#3,332.0,0.0,0.25,F-sharp in octave 3 16th Note,normal
84,F#3,332.25,0.25,0.5,F-sharp in octave 3 Eighth Note,normal
84,F#3,332.75,0.75,0.25,F-sharp in octave 3 16th Note,normal
84,A3,333.0,1.0,0.5,A in octave 3 Eighth Note,normal
84,A#3,333.5,1.5,0.5,A-sharp in octave 3 Eighth Note,normal
84,B3,334.0,2.0,0.25,B in octave 3 16th Note,normal
84,F#3,334.25,2.25,0.25,F-sharp in octave 3 16th Note,normal
84,C3,334.5,2.5,0.5,C-natural in octave 3 Eighth Note,normal
84,B2,335.0,3.0,0.5,B in octave 2 Eighth Note,normal
84,B-2,335.5,3.5,0.5,B-flat in octave 2 Eighth Note,normal
85,A2,336.0,0.0,0.5,A in octave 2 Eighth Note,normal
85,A2,337.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
85,E3,338.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
85,A3,338.25,2.25,0.5,A in octave 3 Eighth Note,normal
85,E3,338.75,2.75,0.25,E in octave 3 16th Note,normal
85,A3,339.0,3.0,0.5,A in octave 3 Eighth Note,normal
85,E3,339.5,3.5,0.5,E in octave 3 Eighth Note,normal
86,A2,340.0,0.0,0.5,A in octave 2 Eighth Note,normal
86,A2,341.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
86,E3,342.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
86,A3,342.25,2.25,0.5,A in octave 3 Eighth Note,normal
86,E3,342.75,2.75,0.25,E in octave 3 16th Note,normal
86,A3,343.0,3.0,0.25,A in octave 3 16th Note,normal
86,D3,343.25,3.25,0.25,D-natural in octave 3 16th Note,normal
86,E3,343.5,3.5,0.5,E in octave 3 Eighth Note,normal
87,A2,344.0,0.0,0.5,A in octave 2 Eighth Note,normal
87,A2,345.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
87,E3,346.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
87,A3,346.25,2.25,0.5,A in octave 3 Eighth Note,normal
87,E3,346.75,2.75,0.25,E in octave 3 16th Note,normal
87,A3,347.0,3.0,0.25,A in octave 3 16th Note,normal
87,D3,347.25,3.25,0.25,D-natural in octave 3 16th Note,normal
87,E3,347.5,3.5,0.5,E in octave 3 Eighth Note,normal
88,A2,348.0,0.0,0.5,A in octave 2 Eighth Note,normal
88,A2,349.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
88,E3,350.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
88,A3,350.25,2.25,0.5,A in octave 3 Eighth Note,normal
88,E3,350.75,2.75,0.25,E in octave 3 16th Note,normal
88,A3,351.0,3.0,0.25,A in octave 3 16th Note,normal
88,E3,351.25,3.25,0.25,E in octave 3 16th Note,normal
88,A3,351.5,3.5,0.25,A in octave 3 16th Note,normal
88,E3,351.75,3.75,0.25,E in octave 3 16th Note,normal
89,A2,352.0,0.0,0.5,A in octave 2 Eighth Note,normal
89,A2,353.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
89,E3,354.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
89,A3,354.25,2.25,0.5,A in octave 3 Eighth Note,normal
89,E3,354.75,2.75,0.25,E in octave 3 16th Note,normal
89,A3,355.0,3.0,0.5,A in octave 3 Eighth Note,normal
89,E3,355.5,3.5,0.5,E in octave 3 Eighth Note,normal
90,A2,356.0,0.0,0.5,A in octave 2 Eighth Note,normal
90,A2,357.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
90,E3,358.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
90,A3,358.25,2.25,0.5,A in octave 3 Eighth Note,normal
90,E3,358.75,2.75,0.25,E in octave 3 16th Note,normal
90,A3,359.0,3.0,0.25,A in octave 3 16th Note,normal
90,E3,359.25,3.25,0.25,E in octave 3 16th Note,normal
90,A3,359.5,3.5,0.25,A in octave 3 16th Note,normal
90,E3,359.75,3.75,0.25,E in octave 3 16th Note,normal
91,A2,360.0,0.0,0.5,A in octave 2 Eighth Note,normal
91,A2,361.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
91,E3,362.0,2.0,0.25+0.25,E in octave 3 16th Note,normal
91,A3,362.25,2.25,0.5,A in octave 3 Eighth Note,normal
91,E3,362.75,2.75,0.25,E in octave 3 16th Note,normal
91,A3,363.0,3.0,0.5,A in octave 3 Eighth Note,normal
91,E3,363.5,3.5,0.5,E in octave 3 Eighth Note,normal
92,A2,364.0,0.0,0.5,A in octave 2 Eighth Note,normal
92,A2,365.0,1.0,0.5+0.75,A in octave 2 Dotted Eighth Note,normal
92,E3,365.75,1.75,0.25,E in octave 3 16th Note,normal
92,A3,366.0,2.0,0.25,A in octave 3 16th Note,normal
92,E3,366.25,2.25,0.25,E in octave 3 16th Note,normal
92,A2,367.0,3.0,0.5+0.25,A in octave 2 16th Note,normal
92,A#2,367.25,3.25,0.75,A-sharp in octave 2 Dotted Eighth Note,normal
93,B2,368.0,0.0,0.5,B in octave 2 Eighth Note,normal
93,B2,368.5,0.5,0.5,B in octave 2 Eighth Note,normal
93,D#3,369.0,1.0,0.25,D-sharp in octave 3 16th Note,normal
93,D#3,369.25,1.25,0.75,D-sharp in octave 3 Dotted Eighth Note,normal
93,E3,370.0,2.0,0.5,E in octave 3 Eighth Note,normal
93,E#3,370.5,2.5,0.5,E-sharp in octave 3 Eighth Note,normal
93,F#3,371.0,3.0,0.5,F-sharp in octave 3 Eighth Note,normal
93,A3,371.5,3.5,0.5,A in octave 3 Eighth Note,normal
94,B3,372.0,0.0,0.5,B in octave 3 Eighth Note,normal
94,B3,372.5,0.5,1.0,B in octave 3 Quarter Note,normal
94,D#3,373.5,1.5,0.25,D-sharp in octave 3 16th Note,normal
94,D#3,374.0,2.0,0.25+0.25,D-sharp in octave 3 16th Note,normal
94,D#3,374.25,2.25,0.25,D-sharp in octave 3 16th Note,x
94,E3,374.5,2.5,0.5,E in octave 3 Eighth Note,normal
94,F#3,375.0,3.0,1.0,F-sharp in octave 3 Quarter Note,normal
